Date,CPI
1978-09,36.0
1978-10,36.5
1978-11,36.9
1978-12,36.9
1979-01,37.2
1979-02,37.5
1979-03,38.0
1979-04,38.3
1979-05,38.6
1979-06,38.9
1979-07,39.2
1979-08,39.3
1979-09,39.5
1979-10,40.0
1979-11,40.4
1979-12,40.6
1980-01,40.9
1980-02,41.3
1980-03,41.7
1980-04,42.0
1980-05,42.4
1980-06,42.9
1980-07,43.1
1980-08,43.5
1980-09,44.0
1980-10,44.3
1980-11,44.6
1980-12,45.0
1981-01,45.6
1981-02,46.0
1981-03,46.6
1981-04,47.0
1981-05,47.4
1981-06,48.2
1981-07,48.6
1981-08,49.0
1981-09,49.2
1981-10,49.9
1981-11,50.2
1981-12,50.2
1982-01,50.5
1982-02,51.1
1982-03,51.9
1982-04,52.2
1982-05,52.9
1982-06,53.5
1982-07,53.9
1982-08,54.0
1982-09,54.4
1982-10,54.7
1982-11,55.1
1982-12,55.3
1983-01,55.1
1983-02,55.4
1983-03,55.9
1983-04,55.5
1983-05,55.7
1983-06,56.8
1983-07,56.9
1983-08,57.3
1983-09,57.3
1983-10,57.6
1983-11,57.5
1983-12,57.9
1984-01,58.4
1984-02,58.7
1984-03,58.7
1984-04,58.9
1984-05,58.9
1984-06,59.3
1984-07,59.7
1984-08,59.7
1984-09,59.8
1984-10,59.9
1984-11,60.4
1984-12,60.3
1985-01,60.7
1985-02,61.0
1985-03,61.3
1985-04,61.3
1985-05,61.4
1985-06,61.8
1985-07,61.9
1985-08,62.1
1985-09,62.1
1985-10,62.4
1985-11,62.7
1985-12,63.0
1986-01,63.4
1986-02,63.6
1986-03,63.7
1986-04,63.8
1986-05,64.1
1986-06,64.3
1986-07,64.8
1986-08,65.0
1986-09,65.0
1986-10,65.4
1986-11,65.8
1986-12,65.9
1987-01,66.2
1987-02,66.5
1987-03,66.8
1987-04,67.2
1987-05,67.6
1987-06,67.8
1987-07,68.4
1987-08,68.4
1987-09,68.4
1987-10,68.7
1987-11,68.9
1987-12,68.8
1988-01,69.0
1988-02,69.3
1988-03,69.7
1988-04,69.9
1988-05,70.8
1988-06,71.0
1988-07,71.4
1988-08,71.7
1988-09,71.8
1988-10,72.2
1988-11,72.4
1988-12,72.5
1989-01,72.8
1989-02,73.3
1989-03,73.8
1989-04,74.2
1989-05,74.8
1989-06,75.3
1989-07,75.8
1989-08,75.9
1989-09,75.9
1989-10,76.3
1989-11,76.6
1989-12,76.6
1990-01,77.2
1990-02,77.7
1990-03,77.9
1990-04,77.9
1990-05,78.3
1990-06,78.6
1990-07,79.0
1990-08,79.0
1990-09,79.1
1990-10,79.8
1990-11,80.3
1990-12,79.9
1991-01,81.6
1991-02,81.6
1991-03,81.8
1991-04,81.9
1991-05,82.4
1991-06,82.8
1991-07,83.0
1991-08,83.0
1991-09,82.8
1991-10,82.4
1991-11,82.8
1991-12,82.4
1992-01,82.5
1992-02,82.7
1992-03,82.8
1992-04,82.9
1992-05,83.1
1992-06,83.3
1992-07,83.5
1992-08,83.5
1992-09,83.3
1992-10,83.4
1992-11,83.8
1992-12,83.8
1993-01,84.0
1993-02,84.4
1993-03,84.5
1993-04,84.3
1993-05,84.4
1993-06,84.6
1993-07,84.8
1993-08,84.8
1993-09,84.9
1993-10,85.1
1993-11,85.3
1993-12,85.3
1994-01,85.1
1994-02,84.6
1994-03,84.3
1994-04,84.5
1994-05,84.3
1994-06,84.3
1994-07,84.8
1994-08,84.8
1994-09,84.8
1994-10,84.8
1994-11,85.2
1994-12,85.4
1995-01,85.9
1995-02,86.3
1995-03,86.6
1995-04,86.7
1995-05,86.9
1995-06,87.0
1995-07,87.1
1995-08,87.0
1995-09,87.2
1995-10,87.0
1995-11,87.2
1995-12,87.1
1996-01,87.2
1996-02,87.4
1996-03,87.7
1996-04,87.9
1996-05,88.1
1996-06,88.0
1996-07,88.1
1996-08,88.2
1996-09,88.2
1996-10,88.6
1996-11,89.2
1996-12,89.2
1997-01,89.4
1997-02,89.4
1997-03,89.7
1997-04,89.7
1997-05,89.7
1997-06,89.9
1997-07,89.9
1997-08,90.1
1997-09,90.0
1997-10,90.2
1997-11,89.9
1997-12,89.8
1998-01,90.2
1998-02,90.5
1998-03,90.6
1998-04,90.3
1998-05,90.6
1998-06,90.6
1998-07,90.7
1998-08,90.7
1998-09,90.7
1998-10,91.1
1998-11,91.0
1998-12,90.7
1999-01,91.0
1999-02,91.1
1999-03,91.6
1999-04,92.1
1999-05,92.4
1999-06,92.3
1999-07,92.6
1999-08,92.9
1999-09,93.1
1999-10,93.2
1999-11,93.1
1999-12,93.4
2000-01,93.2
2000-02,93.9
2000-03,94.7
2000-04,94.1
2000-05,94.7
2000-06,95.3
2000-07,95.5
2000-08,95.3
2000-09,95.7
2000-10,95.9
2000-11,96.5
2000-12,96.6
2001-01,96.5
2001-02,97.1
2001-03,97.7
2001-04,98.1
2001-05,98.7
2001-06,98.7
2001-07,98.5
2001-08,98.5
2001-09,98.7
2001-10,98.4
2001-11,97.7
2001-12,97.7
2002-01,97.7
2002-02,98.4
2002-03,99.5
2002-04,99.5
2002-05,99.5
2002-06,99.8
2002-07,100.5
2002-08,101.3
2002-09,100.9
2002-10,101.1
2002-11,101.4
2002-12,100.4
2003-01,101.9
2003-02,102.7
2003-03,102.8
2003-04,101.8
2003-05,102.2
2003-06,102.3
2003-07,102.5
2003-08,103.0
2003-09,103.2
2003-10,102.9
2003-11,103.1
2003-12,103.4
2004-01,103.4
2004-02,103.6
2004-03,104.0
2004-04,104.1
2004-05,105.0
2004-06,104.8
2004-07,104.9
2004-08,104.7
2004-09,104.8
2004-10,105.0
2004-11,105.4
2004-12,105.3
2005-01,105.1
2005-02,105.8
2005-03,106.4
2005-04,106.5
2005-05,106.6
2005-06,106.8
2005-07,106.9
2005-08,107.5
2005-09,108.2
2005-10,107.7
2005-11,107.5
2005-12,107.6
2006-01,108.2
2006-02,107.9
2006-03,108.8
2006-04,109.1
2006-05,109.5
2006-06,109.3
2006-07,109.0
2006-08,109.1
2006-09,108.5
2006-10,108.4
2006-11,108.6
2006-12,108.8
2007-01,108.6
2007-02,109.7
2007-03,110.8
2007-04,111.1
2007-05,111.6
2007-06,111.1
2007-07,111.1
2007-08,110.9
2007-09,111.0
2007-10,110.9
2007-11,111.2
2007-12,111.1
2008-01,110.9
2008-02,111.4
2008-03,111.7
2008-04,112.5
2008-05,113.6
2008-06,114.2
2008-07,115.1
2008-08,114.8
2008-09,115.1
2008-10,113.7
2008-11,113.5
2008-12,112.8
2009-01,112.4
2009-02,113.1
2009-03,113.7
2009-04,113.2
2009-05,114.0
2009-06,114.2
2009-07,113.7
2009-08,113.7
2009-09,113.8
2009-10,113.9
2009-11,114.6
2009-12,114.1
2010-01,114.5
2010-02,115.1
2010-03,115.3
2010-04,115.7
2010-05,116.2
2010-06,116.0
2010-07,117.0
2010-08,117.0
2010-09,117.1
2010-10,117.8
2010-11,118.0
2010-12,117.9
2011-01,117.8
2011-02,118.0
2011-03,119.4
2011-04,119.9
2011-05,120.9
2011-06,120.2
2011-07,120.5
2011-08,120.6
2011-09,121.1
2011-10,121.0
2011-11,121.0
2011-12,120.3
2012-01,120.6
2012-02,121.4
2012-03,122.0
2012-04,122.4
2012-05,122.4
2012-06,121.6
2012-07,121.4
2012-08,121.8
2012-09,122.0
2012-10,122.2
2012-11,121.9
2012-12,121.3
2013-01,121.3
2013-02,122.8
2013-03,123.2
2013-04,122.9
2013-05,123.0
2013-06,123.2
2013-07,123.4
2013-08,123.4
2013-09,123.5
2013-10,123.3
2013-11,123.3
2013-12,123.1
2014-01,123.3
2014-02,124.6
2014-03,125.1
2014-04,125.9
2014-05,126.5
2014-06,126.9
2014-07,126.5
2014-08,126.5
2014-09,126.7
2014-10,126.8
2014-11,126.3
2014-12,125.4
2015-01,125.3
2015-02,126.2
2015-03,127.1
2015-04,126.9
2015-05,127.7
2015-06,128.2
2015-07,128.4
2015-08,128.0
2015-09,127.8
2015-10,127.9
2015-11,127.9
2015-12,127.5
2016-01,127.8
2016-02,128.2
2016-03,129.0
2016-04,129.6
2016-05,130.1
2016-06,130.4
2016-07,130.3
2016-08,129.9
2016-09,130.1
2016-10,130.6
2016-11,130.2
2016-12,130.0
2017-01,130.8
2017-02,131.2
2017-03,131.4
2017-04,132.0
2017-05,131.9
2017-06,132.1
2017-07,131.9
2017-08,131.8
2017-09,132.3
2017-10,132.3
2017-11,132.7
2017-12,132.0
2018-01,133.2
2018-02,134.0
2018-03,134.6
2018-04,134.8
2018-05,134.9
2018-06,135.3
2018-07,136.0
2018-08,135.9
2018-09,135.2
2018-10,135.6
2018-11,135.1
2018-12,135.0
2019-01,135.2
2019-02,136.0
2019-03,137.0
2019-04,137.4
2019-05,138.1
2019-06,138.0
2019-07,138.8
2019-08,138.5
2019-09,137.5
2019-10,137.9
2019-11,137.7
2019-12,137.8
2020-01,138.0