Date fare started,Cash Fare,Prepaid Fare,Source
1973-01-21,0.30,0.25,3
1975-03-29,0.40,0.33,3
1976-02-22,0.50,0.40,3
1978-01-01,0.55,0.43,3
1979-03-12,0.60,0.50,3
1981-01-04,0.65,0.57,3
1982-01-04,0.75,0.63,3
1983-01-02,0.85,0.67,3
1984-01-02,0.90,0.70,3
1985-01-02,0.95,0.74,3
1986-01-02,1.00,0.80,3
1987-01-05,1.00,0.83,3
1988-01-04,1.05,0.88,3
1989-01-03,1.10,0.94,3
1990-01-02,1.20,1.00,3
1991-01-01,1.30,1.07,3
1992-01-01,2.00,1.10,3
1992-03-01,2.00,1.30,3
1995-09-05,2.00,1.50,3
1996-06-01,2.00,1.60,3
1999-05-03,2.00,1.70,3
2001-06-01,2.25,1.80,3
2003-01-01,2.25,1.90,3
2005-03-06,2.50,2.00,3
2006-04-01,2.75,2.10,3
2007-11-04,2.75,2.25,3
2010-01-03,3.00,2.50,"3,4"
2012-01-01,3.00,2.60,"3,4"
2013-01-01,3.00,2.65,4
2014-01-01,3.00,2.70,4
2015-03-01,3.00,2.80,4
2016-01-03,3.25,2.90,4
2019-04-01,3.25,3.10,4
2020-03-01,3.25,3.20,4